Apr.2015.30,Circles,April.2015,30,"30. The circle in the standard (x,y) coordinate plane below has center (-8.5, 7.5) and has radius 5 coordinate units. Which of the following is an equation of this circle? ",(x - 8.5)2 + (y + 7.5)2 = 10,(x + 8.5)2 + (y - 7.5)2 = 10,(x - 8.5)2 + (y + 7.5)2 = 25,(x + 8.5)2 + (y - 7.5)2 = 25,(x + 8.5)2 + (y + 7.5)2 = 25,[PICTURE],
Apr.2015.31,Circles,April.2015,31,"31. The circle in the standard (x,y) coordinate plane below has center (-8.5, 7.5) and has radius 5 coordinate units. What is the area, in square coordinate units, of this circle?",(5/2)π,(25/2)π,10π,25π,100π,[PICTURE],
Apr.2015.44,Circles,April.2015,44,"44. Points O(0,0) and B(0,3) below lie in the standard (x,y) coordinate plane. The collection of all points such that each is twice as far from B as from O forms a circle. The point (rad3, 0) is 1 point on the circle. What are the coordinates of the center of that circle?"," ( (rad3)/2 , 3/2)","(0, 3/2)","(0, 1)","(0, -1)","(0, -3)",****picture****,
Jun.2015.24,Circles,June.2015,24,"24. The circle shown below has below has diameter (line)AD, and points B and C lie on the circle. The measure of (angle)CAD is 30°, and the measure of minor arc (arc)CD is 60°. What is the measure of minor arc (arc)AC? ",75°,90°,105°,120°,150°,[PICTURE],
Jun.2015.27,Circles,June.2015,27,"27. Graphed in the same standard (x,y) coordinate plane are a circle and a parabola. The circle has radius 3 and center (0, 0). The parabola has vertex (-3, -2), has a vertical axis of symmetry, and passes through (-2, -1). The circle and the parabola intersect at how many points?",0,1,2,3,4,,
Jun.2015.35,Circles,June.2015,35,"35. In the figure shown below, ABCD is a rectangle, EFGH is a square, and (line)CD is the diameter of a semicircle. Points K is the midpoint of (line)CD. Point J is the midpoint of both (line)AB and (line)EF. Points E and F lie on (line)AB. The 3 given lengths are in meters. What is the length, in meters, of arc (arc)CD?",2.5π,5π,6.25π,10π,25π,[PICTURE],
Jun.2015.58,Circles,June.2015,58,"58. In the circle with center D shown below, the length of radius (line)CD is 4 cm, the length of (line)BC is 1 cm, and (line)BC is perpendicular to radius (line)AD at B. When (Angle)ADC is measured in degrees, which of the following expressions represents the length, in centimeters of (arc)AC?", (π/45)(sin-1(¼)),(π/45)(cos-1(¼)),(2π/45)(sin-1(¼)),(2π/45)(cos-1(¼)),(2π/45)(tan-1(¼)),******picture*****,
Dec.2015.8,Circles,December.2015,8,"8. The circular spinner dial for a new board game is divided into 6 congruent sectors. What is the arc measure, in degrees, of each sector?",30°,36°,45°,60°,72°,,
Dec.2015.26,Circles,December.2015,26,"26. The diameter of a circle is 6 feet. What is the area, in square feet, of the circle?",3π,6π,9π,36π,144π,,
Dec.2015.38,Circles,December.2015,38,"38. In standard (x,y) coordinate plane below, a circle has a radius of r coordinate units and passes through the origin, O. The circle has diameter (line)OS, where S lies on the negative y-axis. In terms of r, what are the coordinates of S?"," (0, -2πr)","(0, -2r)","(0, -r)","(0, -0.5r)","(0, r)",****picture***,
Jun.2016.33,Circles,June.2016,33,"33. The circumference of a circle is 20cm. What is the length, in centimeters, of the radius of the circle?",π,10/π,20/π ,20,20π,,
Dec.2016.47,Circles,December.2016,47,"47. A circle with radius 10 cm is divided into 3 congruent arcs. What is the length, in centimeters, of each of the 3 arcs?",(10π)/3,(20π)/3,10π,(40π)/3,20π,,
Dec.2016.60,Circles,December.2016,60,"60. The circle with equation x2 + (y - 1)2 = 1 is graphed in the standard (x,y) coordinate plane below. Suppose the circle rolls along the positive x-axis for 2 rotations and then stops. Which of the following is an equation of the circle in its new position?", (x + 2)2 + (y - 1)2 = 1,(x + 2π)2 + (y - 1)2 = 1,(x + 4π)2 + (y - 1)2 = 1,(x - 2π)2 + (y - 1)2 = 1,(x - 4π)2 + (y - 1)2 = 1,****picture****,
